id_contenuto,id_puntata,tipologia,UE,id_ospite,keyword,start,end,sentiment
C1,R3-20190305,Dibattito,FALSE,"O63, O57","conflitto politico e governativo, sicurezza e giustizia, legittima difesa, cittadinanza",00:42:00,01:16:04,
C2,R3-20190305,Intervista singola,TRUE,O11,intenzioni voto ue,01:16:05,01:17:28,Neutro
C3,R3-20190305,Dibattito,FALSE,"O64, O42","sicurezza e giustizia, legittima difesa, infrastrutture, TAV, occupazioni",01:17:28,01:43:08,
C4,R3-20190305,Intervista singola,FALSE,O164,immigrazione,01:43:10,01:49:30,
C5,R3-20190305,Dibattito,FALSE,"O12, O61, O65, O30","infrastrutture, TAV, sicurezza e giustizia, legittima difesa, economia e finanza, lavoro e disoccupazione",01:49:31,02:30:02,
C6,R3-20190312,Dibattito,FALSE,"O44, O69","infrastrutture, TAV, clima e ambiente",00:29:20,00:43:21,
C7,R3-20190312,Dibattito,FALSE,"O66, O68, O69, O67","infrastrutture, TAV, clima e ambiente, conflitto politico e governativo",00:50:15,01:20:00,
C8,R3-20190312,Dibattito,TRUE,"O66, O68, O69, O67",elezioni ue e stabilità governativa,01:18:16,01:19:00,Neutro
C9,R3-20190312,Dibattito,FALSE,"O16, O31","sicurezza e giustizia, occupazioni, clima e ambiente, infrastrutture, TAV, sanità",01:22:46,01:50:55,
C10,R3-20190312,Intervista singola,TRUE,O11,intenzioni voto ue,01:51:40,01:53:08,Neutro
C11,R3-20190312,Dibattito,FALSE,"O23, O71, O72, O51","sicurezza e giustizia, legittima difesa, occupazioni, immigrazione",01:53:10,02:29:40,
C12,R3-20190319,Intervista singola,FALSE,O44,immigrazione,00:05:00,00:27:10,
C13,R3-20190319,Intervista singola,FALSE,O62,"immigrazione, conflitto politico e governativo",00:48:55,01:18:19,
C14,R3-20190319,Intervista singola,TRUE,O62,"schieramenti PE, proposte ue",01:00:19,01:05:26,Positivo
C15,R3-20190319,Dibattito,FALSE,"O40, O63, O30","immigrazione, diritti umani",01:19:56,01:57:30,
C16,R3-20190319,Dibattito,TRUE,O40,politica di immigrazione comunitaria,01:51:21,01:52:58,Negativo
C17,R3-20190319,Dibattito,FALSE,"O14, O74, O75, O73, O9","sicurezza e giustizia, economia e finanza, lavoro e disoccupazione, occupazioni, conflitto politico e governativo",01:57:31,02:34:37,
C18,R3-20190319,Dibattito,TRUE,"O14, O74, O75, O73, O9",elezioni ue e stabilità governativa,02:17:20,02:18:31,Neutro
C19,R3-20190326,Intervista singola,FALSE,O44,"conflitto politico e governativo, razzismo, cittadinanza",00:05:00,00:27:43,
C20,R3-20190326,Intervista singola,FALSE,O58,"conflitto politico e governativo, cittadinanza, scandali, clima e ambiente",00:41:54,01:11:52,
C21,R3-20190326,Intervista singola,FALSE,O76,immigrazione,01:13:20,01:21:54,
C22,R3-20190326,Dibattito,FALSE,"O77, O9, O23",immigrazione,01:23:43,01:50:14,
C23,R3-20190326,Dibattito,TRUE,"O77, O9, O23",politica di immigrazione comunitaria,01:47:21,01:50:14,Negativo
C24,R3-20190326,Intervista singola,FALSE,O78,"razzismo, diritti civili, immigrazione, cittadinanza",01:50:52,02:08:18,
C25,R3-20190326,Dibattito,FALSE,"O80, O9, O12, O79","economia e finanza, tasse, lavoro e disoccupazione",02:08:20,02:31:59,
C26,R3-20190402,Intervista singola,FALSE,O44,"diritti civili, famiglia, economia e finanza, clima e ambiente",00:13:41,00:43:10,
C27,R3-20190402,Dibattito,FALSE,"O82, O81, O9, O30","libertà, diritti civili, famiglia",00:43:10,01:19:30,
C28,R3-20190402,Dibattito,FALSE,"O82, O67, O84, O9","occupazioni, sicurezza e giustizia, legittima difesa",01:19:32,01:54:08,
C29,R3-20190402,Dibattito,TRUE,O67,normative ue,01:26:00,01:27:53,Negativo
C30,R3-20190402,Dibattito,FALSE,"O85, O12, O86, O61","economia e finanza, lavoro e disoccupazione, pensioni",01:57:00,02:30:11,
C31,R3-20190402,Dibattito,TRUE,O12,"politica economica e commerciale ue, fondi ue",01:57:28,01:58:32,Negativo
C32,R3-20190402,Dibattito,TRUE,O12,,01:59:47,02:00:24,Negativo
C33,R3-20190402,Dibattito,TRUE,O12,,02:03:41,02:04:41,Negativo
C34,R3-20190402,Dibattito,TRUE,O12,,02:10:20,02:11:28,Negativo
C35,R3-20190402,Dibattito,TRUE,O12,,02:12:03,02:13:38,Negativo
C36,R3-20190402,Dibattito,TRUE,O85,,01:58:32,01:59:28,Neutro
C37,R3-20190402,Dibattito,TRUE,O85,,02:16:33,02:18:35,Positivo
C38,R3-20190402,Dibattito,TRUE,O61,,02:02:17,02:03:41,Positivo
C39,R3-20190402,Dibattito,TRUE,O86,,02:14:51,02:16:00,Positivo
C40,R3-20190409,Intervista singola,FALSE,O44,"conflitto politico e governativo, economia e finanza, occupazioni, lavoro e disoccupazione, razzismo, diritti civili",00:05:13,00:39:47,
C41,R3-20190409,Intervista singola,FALSE,O87,"conflitto politico e governativo, sicurezza e giustizia, occupazioni, clima e ambiente, infrastrutture, TAV, diritti civili, famiglia",00:39:59,01:05:32,
C42,R3-20190409,Dibattito,FALSE,"O89, O88, O16","immigrazione, occupazioni, sicurezza e giustizia",01:08:20,01:54:59,
C43,R3-20190409,Dibattito,TRUE,O88,politica di immigrazione comunitaria,01:26:00,01:27:43,Positivo
C44,R3-20190409,Dibattito,FALSE,"O64, O23, O53, O90",economia e finanza,01:55:00,02:31:48,
C45,R3-20190416,Dibattito,FALSE,"O7, O8, O9","conflitto politico e governativo, immigrazione",00:42:20,01:23:26,
C46,R3-20190416,Dibattito,TRUE,O7,politica di immigrazione comunitaria,00:42:20,00:45:17,Negativo
