id_puntata,trasmissione,data,durata_puntata
M4-20190307,Dritto e Rovescio,2019-03-07,2:59:04
M4-20190314,Dritto e Rovescio,2019-03-14,2:55:05
M4-20190321,Dritto e Rovescio,2019-03-21,2:53:19
M4-20190328,Dritto e Rovescio,2019-03-28,2:48:35
M4-20190404,Dritto e Rovescio,2019-04-04,2:55:29
M4-20190411,Dritto e Rovescio,2019-04-11,2:50:08
M4-20190418,Dritto e Rovescio,2019-04-18,2:47:44
M4-20190502,Dritto e Rovescio,2019-05-02,2:43:00
M4-20190509,Dritto e Rovescio,2019-05-09,2:49:30
M4-20190516,Dritto e Rovescio,2019-05-16,2:54:26
M4-20190523,Dritto e Rovescio,2019-05-23,2:53:56
M4-20190530,Dritto e Rovescio,2019-05-30,2:59:24
R3-20190305,#cartabianca,2019-03-05,2:30:02
R3-20190312,#cartabianca,2019-03-12,2:29:43
R3-20190319,#cartabianca,2019-03-19,2:34:37
R3-20190326,#cartabianca,2019-03-26,2:31:59
R3-20190402,#cartabianca,2019-04-02,2:30:11
R3-20190409,#cartabianca,2019-04-09,2:31:48
R3-20190416,#cartabianca,2019-04-16,2:31:54
R3-20190430,#cartabianca,2019-04-30,2:36:38
R3-20190507,#cartabianca,2019-05-07,2:33:19
R3-20190514,#cartabianca,2019-05-14,2:30:35
R3-20190521,#cartabianca,2019-05-21,2:33:37
R3-20190528,#cartabianca,2019-05-28,2:29:25
