nome,cognome,titolo,appartenenza
Pietro,Senaldi,Giornalista,Libero
Simona,Bonafé,Politico,PD
Claudia,Fusani,Giornalista,
Alessandro,Morelli,Politico,Lega
Francesca,Fagnani,"Giornalista, Opinionista",
Luigi,Di Maio,Politico,M5S
Giorgia,Meloni,Politico,FdI
Maria Teresa,Meli,Giornalista,Corriere della Sera
Andrea,Scanzi,Giornalista,Il Fatto Quotidiano
Emma,Bonino,Politico,+Europa
Antonio,Noto,Sondaggista,
Claudio,Borghi,Politico,Lega
Elisabetta,Gualmini,Politico,PD
Dario,Vergassola,Comico,
Alessandro,Plateroti,Giornalista,Il sole 24h
Lucia,Borgonzoni,Politico,Lega
Giuseppe,Cruciani,Giornalista,
Alessia,Morani,Politico,PD
Patrizia,De Blanck,Personaggio TV,
Antonio,Tajani,Politico,FI
Matteo,Salvini,Politico,Lega
Viola,Carofalo,Politico,Potere al popolo
Mario,Giordano,Giornalista,"Mediaset, La Verità"
Silvia,Sardone,Politico,Lega
Silvio,Berlusconi,Politico,FI
Irene,Tinagli,Politico,PD
Paolo,Ferrero,Politico,La Sinistra
Andrea,Alzetta,Attivista,
Don Gino,Rigoldi,Sacerdote,
Maurizio,Belpietro,Giornalista,"La Verità, Panorama"
Alessandra,Moretti,Politico,PD
Padre Massimo,Nevola,Sacerdote,
Carlo,Calenda,Politico,PD
Daniela,Santanchè,Politico,FdI
Rosario,Trefiletti,Economista,
Alessandro,Cecchi Paone,"Giornalista, Opinionista",
Sabrina,Scampini,Giornalista,Tgcom24
Tobias,Piller,Giornalista,F.A.Z. in Italia
Marco,Rizzo,Politico,PCI
Massimo,Cacciari,Filosofo,
Alfonso,Bonafede,Politico,M5S
Luigi,De Magistris,Sindaco,
Maurizio,Landini,Sindacalista,CGIL
Mauro,Corona,Scrittore,
Edoardo,Rixi,Politico,Lega
Nina,Zilli,Cantante,
Massimo,D'Alema,Politico,Articolo Uno
Giovanna,Botteri,Giornalista,
Stefano,Patuanelli,Politico,M5S
Susanna,Schimperna,Scrittrice,
Marco,Furfaro,Politico,
Mara,Carfagna,Politico,FI
Ferruccio,De Bortoli,Giornalista,Corriere della Sera
Sarah,Varetto,Giornalista,Sky tg24
Nicola,Fratoianni,Politico,La Sinistra
Lodovico,Guenzi,Cantautore,
Pier Luigi,Bersani,Politico,Articolo Uno
Stefano,Buffagni,Politico,M5S
Don Vinicio,Albanesi,Sacerdote,
Michele,Brambilla,Giornalista,Quotidiano Nazionale
Stefano,Cappellini,Giornalista,La Repubblica
Nicola,Zingaretti,Politico,PD
