id_ospite,nome,cognome,titolo,appartenenza
O1,Pietro,Senaldi,Giornalista,Libero
O2,Simona,Bonafè,Politico,PD
O3,Claudia,Fusani,Giornalista,
O4,Alessandro,Morelli,Politico,Lega
O5,Francesca,Fagnani,"Giornalista, Opinionista",
O6,Luigi,Di Maio,Politico,M5S
O7,Giorgia,Meloni,Politico,FdI
O8,Maria Teresa,Meli,Giornalista,Corriere della Sera
O9,Andrea,Scanzi,Giornalista,Il Fatto Quotidiano
O10,Emma,Bonino,Politico,+Europa
O11,Antonio,Noto,Sondaggista,
O12,Claudio,Borghi,Politico,Lega
O13,Elisabetta,Gualmini,Politico,PD
O14,Dario,Vergassola,Comico,
O15,Alessandro,Plateroti,Giornalista,Il sole 24h
O16,Lucia,Borgonzoni,Politico,Lega
O17,Giuseppe,Cruciani,Giornalista,
O18,Alessia,Morani,Politico,PD
O19,Patrizia,De Blanck,Personaggio TV,
O20,Antonio,Tajani,Politico,FI
O21,Matteo,Salvini,Politico,Lega
O22,Viola,Carofalo,Politico,Potere al popolo
O23,Mario,Giordano,Giornalista,"Mediaset, La Verità"
O24,Silvia,Sardone,Politico,Lega
O25,Silvio,Berlusconi,Politico,FI
O26,Irene,Tinagli,Politico,PD
O27,Paolo,Ferrero,Politico,La Sinistra
O28,Andrea,Alzetta,Attivista,
O29,Don Gino,Rigoldi,Sacerdote,
O30,Maurizio,Belpietro,Giornalista,"La Verità, Panorama"
O31,Alessandra,Moretti,Politico,PD
O32,Padre Massimo,Nevola,Sacerdote,
O33,Carlo,Calenda,Politico,PD
O34,Daniela,Santanchè,Politico,FdI
O35,Rosario,Trefiletti,Economista,
O36,Alessandro,Cecchi Paone,"Giornalista, Opinionista",
O37,Sabrina,Scampini,Giornalista,Tgcom24
O38,Tobias,Piller,Giornalista,F.A.Z. in Italia
O39,Marco,Rizzo,Politico,PCI
O40,Massimo,Cacciari,Filosofo,
O41,Alfonso,Bonafede,Politico,M5S
O42,Luigi,De Magistris,Sindaco,
O43,Maurizio,Landini,Sindacalista,CGIL
O44,Mauro,Corona,Scrittore,
O45,Edoardo,Rixi,Politico,Lega
O46,Nina,Zilli,Cantante,
O47,Massimo,D'Alema,Politico,Articolo Uno
O48,Giovanna,Botteri,Giornalista,
O49,Stefano,Patuanelli,Politico,M5S
O50,Susanna,Schimperna,Scrittrice,
O51,Marco,Furfaro,Politico,
O52,Mara,Carfagna,Politico,FI
O53,Ferruccio,De Bortoli,Giornalista,Corriere della Sera
O54,Sarah,Varetto,Giornalista,Sky tg24
O55,Nicola,Fratoianni,Politico,La Sinistra
O56,Lodovico,Guenzi,Cantautore,
O57,Pier Luigi,Bersani,Politico,Articolo Uno
O58,Stefano,Buffagni,Politico,M5S
O59,Don Vinicio,Albanesi,Sacerdote,
O60,Michele,Brambilla,Giornalista,Quotidiano Nazionale
O61,Stefano,Cappellini,Giornalista,La Repubblica
O62,Nicola,Zingaretti,Politico,PD
O63,Paolo,Mieli,Giornalista,Corriere della Sera
O64,Manlio,Di Stefano,Politico,M5S
O65,Dario,Nardella,Sindaco di Firenze,PD
O66,Vittorio,Sgarbi,Politico,
O67,Alessandro,Giuli,Giornalista,Libero
O68,Giuliano,Cazzola,Economista,
O69,Mario,Tozzi,Geologo,
O70,Alberto,Forchielli,Imprenditore,
O71,Alan,Friedman,Giornalista,
O72,Luisella,Costamagna,Giornalista,"Il Fatto Quotidiano, La Verità"
O73,Maurizio,Gasparri,Politico,FI
O74,Domenico,De Masi,Sociologo,
O75,Giampiero,Mughini,Giornalista,
O76,Luca,Casarini,Capo missione ong Mediterranea,
O77,Padre Enzo,Fortunato,Direttore sala stampa convento Assisi,
O78,Ornella,Vanoni,Cantante,
O79,Arrigo,Cipriani,Imprenditore,
O80,Alessandro,Barbano,Giornalista,Corriere dello Sport
O81,Elisabetta,Gardini,Politico,FI
O82,Monica,Cirinnà,Politico,PD
O83,Gianrico,Carofiglio,"ex Magistrato, Scrittore",
O84,Carla,Conte,Commerciante,
O85,Francesco,Mutti,Imprenditore,
O86,Giovanni,Toti,Politico,FI
O87,Chiara,Appendino,Politico,M5S
O88,Laura,Boldrini,Politico,PD
O89,Antonio,Padellaro,Giornalista,Il Fatto Quotidiano
O90,Oscar,Farinetti,Imprenditore,
O91,Marco,Bonometti,"Imprenditore, presidente Confindustria Lombardia",
O92,Maria Stella,Gelmini,Politico,FI
O93,Luigi,Amicone,Giornalista,Tempi
O94,Debora,Rasio,Nutrizionista,
O95,Salvatore,Salvo,Pizzaiolo,
O96,Andrea,Radic,Giornalista,Guide L'espresso
O97,Cecilia,Rodriguez,Showgirl,
O98,Veronica,Barbati,Presidente Coldiretti Giovani,
O99,Claudio,Durigon,Politico,Lega
O100,Alberto,Carnevale-Maffè,Professore SDA Bocconi,
O101,Alvise,Maniero,Politico,M5S
O102,Francesco,Wu,Imprenditore,
O103,Vladmir,Luxuria,"Opinionista, ex Politico",
