file,field,description,Type,Example
trasmissioni,trasmissione,Denominazione della trasmissione,String,Dritto e Rovescio
trasmissioni,rete,Denominazione della rete televisiva,String,Mediaset
trasmissioni,canale,Denominazione del canale televisivo,String,Rete 4
trasmissioni,numero,Numerazione LCN nazionale dei canali TV,Number,4
puntate,id_puntata,ID della puntata,String,M4-20190307
puntate,trasmissione,Denominazione della trasmissione,String,Dritto e Rovescio
puntate,data,Data della messa in onda della puntata,Date,2019-03-07
puntate,durata_puntata,Durata della puntata,String,2:53:19
ospiti,nome,Nome,String,Pietro
ospiti,cognome,Cognome,String,Senaldi
ospiti,titolo,Professione o attività svolta,String,Giornalista
ospiti,appartenenza,Testa giornalistica o Partito politico di appartenenza,String,Libero
interventi,id_puntata,ID della puntata,String,R3-20190305
interventi,tipologia,Tipologia dell'intervento,String,Intervista singola
interventi,UE,Indicatore degli interventi legati all'Unione Europea,Boolean,TRUE
interventi,ospite,,Testo,Noto
interventi,keyword,,Testo,intenzioni voto ue
interventi,start,,Time,1:16:05
interventi,end,,Time,1:17:28
interventi,sentiment,,String,Neutro
